Timestamp,Latitude,Longitude,Intensity,Location Description,Metadata
1922-01-03 06:33:20,2420,12410,0,1      詳細不明,1N
1922-01-03 09:05:52,3414,13510,0,1      詳細不明,1N
1922-01-05 08:47:29,3414,13510,0,1      詳細不明,1N
1922-01-05 18:49:08,3623,14028,0,1      詳細不明,1N
1922-01-07 05:22:36,3623,14028,0,1      詳細不明,1N
1922-01-07 10:41:00,2823,12930,0,1      詳細不明,1N
1922-01-07 20:25:14,2612,12741,0,1      詳細不明,1N
1922-01-08,3249,13042,0,1      詳細不明,1N
1922-01-09 20:04:30,4346,14222,0,1      詳細不明,1N
1922-01-09 23:54:04,3443,13743,0,2      詳細不明,2N
1922-01-10 15:49:15,3316,13018,0,1      詳細不明,1N
1922-01-10 22:37:13,3826,14118,0,1      詳細不明,1N
1922-01-11 13:06:48,3639,13927,0,1      詳細不明,1N
1922-01-12 03:29:43,3526,13939,0,1      詳細不明,1N
1922-01-12 20:04:50,3639,13927,0,1      詳細不明,1N
1922-01-12 21:04:50,3414,13510,0,1      詳細不明,1N
1922-01-13 07:53:36,3526,13939,0,1      詳細不明,1N
1922-01-15 22:48:38,3414,13510,0,1      詳細不明,1N
1922-01-17 20:17:58,3414,13510,0,1      詳細不明,1N
1922-01-18 22:23:08,3613,14006,0,1      詳細不明,1N
1922-01-19 02:27:10,3939,14158,0,1      詳細不明,1N
1922-01-21,2823,12930,0,1      詳細不明,1N
1922-01-22 14:19:02,3639,13927,0,1      詳細不明,1N
1922-01-23 03:17:31,3544,14051,0,1      詳細不明,1N
1922-01-24 01:50:25,3752,14046,0,1      詳細不明,1N
1922-01-24 11:39:05,3417,13345,0,2      詳細不明,2N
1922-01-28 08:47:23,3351,13247,0,1      詳細不明,1N
1922-01-29 00:25:03,3414,13510,0,1      詳細不明,1N
1922-01-29 22:14:58,3414,13510,0,1      詳細不明,1N
1922-01-30 02:39:58,3414,13510,0,1      詳細不明,1N
1922-01-31 11:29:01,4259,14423,0,1      詳細不明,1N
1922-02-03 14:49:48,3454,13204,0,1      詳細不明,1N
1922-02-03 15:21:35,3414,13510,0,1      詳細不明,1N
1922-02-03 17:43:53,3943,14006,0,1      詳細不明,1N
1922-02-03 17:48:15,3414,13510,0,1      詳細不明,1N
1922-02-05 10:15:55,3431,13548,0,1      詳細不明,1N
1922-02-05 19:16:06,3613,14006,0,1      詳細不明,1N
1922-02-06 05:09:54,2612,12741,0,1      詳細不明,1N
1922-02-06 22:55:00,3943,14006,0,1      詳細不明,1N
1922-02-10 12:12:05,3414,13510,0,1      詳細不明,1N
1922-02-15 14:59:05,4320,14535,0,1      詳細不明,1N
1922-02-15 19:49:20,2706,14211,0,1      詳細不明,1N
1922-02-20 20:37:33,4149,14045,0,1      詳細不明,1N
1922-02-21 09:49:39,3414,13510,0,1      詳細不明,1N
1922-02-21 23:11:14,3414,13510,0,1      詳細不明,1N
1922-02-22 16:58:28,3414,13510,0,1      詳細不明,1N
1922-02-24 05:14:15,4259,14423,0,1      詳細不明,2N
1922-02-25 16:00:41,3414,13510,0,1      詳細不明,1N
1922-02-28 14:50:47,3414,13510,0,1      詳細不明,1N
1922-02-28 22:49:55,3943,14006,0,1      詳細不明,1N
1922-03-03 15:53:29,3351,13247,0,1      詳細不明,1N
1922-03-03 16:06:37,3414,13510,0,1      詳細不明,1N
1922-03-04 15:15:30,3908,14108,0,2      詳細不明,2N
1922-03-04 22:07:446,N/A,157108,1,ロシア、カムチャツカ半,1
1922-03-05 17:05:31,3454,13204,0,1      詳細不明,1N
1922-03-06 20:28:05,3414,13510,0,1      詳細不明,1N
1922-03-09 11:55:30,3613,14006,0,1      詳細不明,1N
1922-03-10 19:29:41,3431,13548,0,1      詳細不明,1N
1922-03-13 15:40:15,3414,13510,0,1      詳細不明,1N
1922-03-13 16:49:50,3414,13510,0,1      詳細不明,1N
1922-03-14 00:05:18,3623,14028,0,1      詳細不明,1N
1922-03-15 22:20:02,3454,13204,0,1      詳細不明,1N
1922-03-15 23:55:25,3414,13510,0,1      詳細不明,1N
1922-03-16 15:25:18,3826,14118,0,1      詳細不明,1N
1922-03-16 20:40:15,3414,13510,0,1      詳細不明,1N
1922-03-17,3444,13631,0,1      詳細不明,1N
1922-03-17 10:30:39,3417,13345,0,1      詳細不明,1N
1922-03-19 15:41:56,3431,13548,0,1      詳細不明,1N
1922-03-19 19:21:10,3414,13510,0,1      詳細不明,1N
1922-03-20 21:05:05,3414,13510,0,1      詳細不明,1N
1922-03-20 22:22:20,3633,13952,0,1      詳細不明,1N
1922-03-25 07:58:13,3454,13204,0,1      詳細不明,1N
1922-03-25 19:49:09,3613,14006,0,1      詳細不明,1N
1922-03-26 13:52:29,4259,14423,0,1      詳細不明,1N
1922-03-27,3532,13449,0,1      詳細不明,1N
1922-03-30 12:45:28,3517,13940,0,1      詳細不明,1N
1922-03-30 23:55:57,4149,14045,0,1      詳細不明,1N
1922-04-01 14:41:11,3613,14006,0,1      詳細不明,1N
1922-04-01 15:12:45,3613,14006,0,1      詳細不明,1N
1922-04-04 20:04:35,3414,13510,0,1      詳細不明,1N
1922-04-04 21:10:26,3540,13833,0,1      詳細不明,1N
1922-04-04 23:49:28,3333,13332,0,3      詳細不明,3N
1922-04-05 17:12:40,3414,13510,0,1      詳細不明,1N
1922-04-07 20:25:10,3414,13510,0,1      詳細不明,1N
1922-04-08,3623,14028,0,1      詳細不明,1N
1922-04-08 21:57:22,3357,13315,0,1      詳細不明,1N
1922-04-10 13:05:09,2823,12930,0,1      詳細不明,1N
1922-04-10 13:05:09,2823,12930,0,1      詳細不明,1N
1922-04-11 00:43:28,4259,14423,0,1      詳細不明,1N
1922-04-11 02:08:33,4259,14423,0,1      詳細不明,1N
1922-04-11 18:05:43,3706,13815,0,1      詳細不明,1N
1922-04-12 17:39:11,4259,14423,0,1      詳細不明,1N
1922-04-12 18:59:47,3414,13510,0,1      詳細不明,1N
1922-04-13 13:11:17,2823,12930,0,1      詳細不明,1N
1922-04-17 11:14:15,2420,12410,0,1      詳細不明,1N
1922-04-18 04:15:35,3414,13510,0,1      詳細不明,1N
1922-04-19 18:43:20,4259,14423,0,1      詳細不明,1N
1922-04-21 00:44:17,2612,12741,0,1      詳細不明,1N
1922-04-21 07:36:25,3613,14006,0,1      詳細不明,2N
1922-04-24 06:14:43,4259,14423,0,1      詳細不明,1N
1922-04-27 17:25:49,3414,13510,0,1      詳細不明,1N
1922-04-28 06:16:30,3540,13833,0,1      詳細不明,1N
1922-04-28 12:09:40,3541,13945,0,1      詳細不明,1N
1922-04-29,4422,14142,0,1      詳細不明,1N
1922-04-29 11:07:09,3414,13510,0,1      詳細不明,1N
1922-04-29 18:10:45,4259,14423,0,1      詳細不明,2N
1922-04-30 00:13:10,3623,14028,0,1      詳細不明,1N
1922-04-30 01:48:30,3746,14028,0,1      詳細不明,1N
1922-04-30 06:38:52,3414,13510,0,1      詳細不明,1N
1922-05-01 07:42:25,3414,13510,0,1      詳細不明,1N
1922-05-01 13:09:19,3526,13939,0,1      詳細不明,2N
1922-05-02 07:03:37,4259,14423,0,1      詳細不明,1N
1922-05-03 00:19:54,3414,13510,0,1      詳細不明,1N
1922-05-03 16:45:05,2420,12410,0,1      詳細不明,1N
1922-05-08 14:41:52,3414,13233,0,1      詳細不明,1N
1922-05-09 01:39:11,3623,14028,0,1      詳細不明,1N
1922-05-11 03:46:00,4320,14535,0,1      詳細不明,1N
1922-05-11 06:12:48,3414,13510,0,1      詳細不明,1N
1922-05-11 17:58:45,3414,13510,0,1      詳細不明,1N
1922-05-11 21:22:10,4259,14423,0,1      詳細不明,1N
1922-05-12 02:39:35,3414,13510,0,1      詳細不明,1N
1922-05-12,3640,13812,0,1      詳細不明,1N
1922-05-13,3640,13812,0,1      詳細不明,1N
1922-05-14 02:15:40,3414,13510,0,1      詳細不明,1N
1922-05-14 21:35:16,3623,14028,0,1      詳細不明,2N
1922-05-15 09:49:10,3414,13510,0,1      詳細不明,1N
1922-05-15 10:01:40,3414,13510,0,1      詳細不明,1N
1922-05-15 13:57:55,3635,13638,0,1      詳細不明,1N
1922-05-16 07:15:10,3603,13613,0,2      詳細不明,1N
1922-05-16 11:14:04,2823,12930,0,1      詳細不明,2N
1922-05-16 21:56:35,4259,14423,0,1      詳細不明,1N
1922-05-17 18:48:50,3414,13510,0,1      詳細不明,1N
1922-05-17 22:52:19,3623,14028,0,1      詳細不明,1N
1922-05-19 12:52:09,3613,14006,0,1      詳細不明,1N
1922-05-20 06:38:58,3623,14028,0,1      詳細不明,1N
1922-05-22 21:12:42,3404,13434,0,1      詳細不明,1N
1922-05-24 07:43:53,3613,14006,0,1      詳細不明,1N
1922-05-24 12:32:07,3746,14028,0,1      詳細不明,3N
1922-05-25 13:42:51,3524,13646,0,1      詳細不明,1N
1922-05-27 10:38:09,3623,14028,0,1      詳細不明,2N
1922-05-28 09:09:00,3826,14118,0,1      詳細不明,1N
1922-05-28 09:35:12,3826,14118,0,1      詳細不明,1N
1922-05-29 03:20:00,3414,13510,0,1      詳細不明,1N
1922-05-29 13:18:41,3414,13510,0,1      詳細不明,1N
1922-05-31 08:08:30,3249,13042,0,1      詳細不明,1N
1922-05-31,3541,13945,0,1      詳細不明,1N
1922-06-01 06:21:31,3414,13510,0,1      詳細不明,1N
1922-06-07 05:40:10,3454,13204,0,1      詳細不明,1N
1922-06-08 10:16:04,3414,13233,0,1      詳細不明,1N
1922-06-10,4320,14535,0,1      詳細不明,1N
1922-06-10 14:01:30,2420,12410,0,1      詳細不明,1N
1922-06-12 11:58:05,3939,14158,0,3      詳細不明,1N
1922-06-12 12:13:49,3939,14158,0,1      詳細不明,1N
1922-06-12 12:34:55,3939,14158,0,2      詳細不明,2N
1922-06-12,4320,14535,0,1      詳細不明,1N
1922-06-13,3524,13646,0,1      詳細不明,2N
1922-06-13 04:08:10,2420,12410,0,1      詳細不明,1N
1922-06-19 22:40:22,4259,14423,0,1      詳細不明,1N
1922-06-22 19:18:58,3506,13851,0,1      詳細不明,1N
1922-06-23 01:48:10,2420,12410,0,1      詳細不明,1N
1922-06-23 03:15:20,3939,14158,0,1      詳細不明,1N
1922-06-23 04:48:52,3623,14028,0,1      詳細不明,2N
1922-06-23 17:58:00,4259,14423,0,1      詳細不明,1N
1922-06-25 14:28:03,3613,14006,0,1      詳細不明,2N
1922-06-27 05:58:00,3414,13510,0,1      詳細不明,1N
1922-06-27 20:56:44,3414,13233,0,1      詳細不明,1N
1922-06-28 04:26:40,4320,14535,0,1      詳細不明,1N
1922-06-30 04:34:58,3524,13646,0,1      詳細不明,1N
1922-07-02 14:58:54,3314,13137,0,1      詳細不明,1N
1922-07-02 21:19:19,3532,13449,0,1      詳細不明,2N
1922-07-03 22:37:23,3327,13546,0,1      詳細不明,1N
1922-07-05 23:18:38,2823,12930,0,1      詳細不明,1N
1922-07-06 09:02:02,4259,14423,0,1      詳細不明,1N
1922-07-06 10:58:09,4259,14423,0,1      詳細不明,1N
1922-07-06 11:10:04,4259,14423,0,1      詳細不明,1N
1922-07-06 11:30:40,2420,12410,0,1      詳細不明,1N
1922-07-06 14:29:04,4259,14423,0,1      詳細不明,2N
1922-07-06 22:22:14,3826,14118,0,1      詳細不明,1N
1922-07-07 05:58:40,3414,13510,0,1      詳細不明,1N
1922-07-12 14:18:49,3314,13137,0,1      詳細不明,1N
1922-07-13 15:02:07,3623,14028,0,1      詳細不明,1N
1922-07-15 12:23:11,3414,13510,0,1      詳細不明,1N
1922-07-15 13:40:00,3414,13510,0,1      詳細不明,1N
1922-07-16 13:23:43,3314,13233,0,1      詳細不明,1N
1922-07-17 05:59:52,3613,14006,0,1      詳細不明,1N
1922-07-17 14:51:32,3155,13125,0,1      詳細不明,1N
1922-07-17 23:32:53,3623,14028,0,1      詳細不明,1N
1922-07-20 00:21:21,2823,12930,0,1      詳細不明,1N
1922-07-20 11:40:47,4320,14535,0,1      詳細不明,1N
1922-07-21 13:04:07,3623,14028,0,1      詳細不明,2N
1922-07-21 13:25:28,3414,13510,0,1      詳細不明,1N
1922-07-22 23:35:16,2823,12930,0,1      詳細不明,1N
1922-07-23 20:47:55,3414,13510,0,1      詳細不明,1N
1922-07-25 01:26:00,3414,13510,0,1      詳細不明,1N
1922-07-25 09:13:46,2823,12930,0,1      詳細不明,1N
1922-07-26 10:34:35,3623,14028,0,1      詳細不明,1N
1922-07-28 04:35:15,4259,14423,0,1      詳細不明,1N
1922-07-29 12:46:24,3541,13945,0,1      詳細不明,2N
1922-07-30,2823,12930,0,1      詳細不明,1N
1922-07-30 19:51:40,4320,14535,0,1      詳細不明,1N
1922-08-01 21:16:10,3746,14028,0,1      詳細不明,1N
1922-08-02 10:49:54,3623,14028,0,1      詳細不明,1N
1922-08-02 16:02:29,3623,14028,0,1      詳細不明,1N
1922-08-04 21:58:35,3414,13510,0,1      詳細不明,1N
1922-08-07 06:52:11,3414,13233,0,1      詳細不明,1N
1922-08-07 08:41:51,3623,14028,0,1      詳細不明,2N
1922-08-09,3314,13233,0,1      詳細不明,1N
1922-08-09 20:55:40,4259,14423,0,1      詳細不明,2N
1922-08-11,4255,14313,0,2      詳細不明,1N
1922-08-11 08:10:02,3414,13510,0,1      詳細不明,1N
1922-08-12 21:29:41,3244,12952,0,1      詳細不明,1N
1922-08-13,3623,14028,0,1      詳細不明,1N
1922-08-15 00:30:15,4320,14535,0,1      詳細不明,1N
1922-08-15 06:10:10,3414,13510,0,1      詳細不明,1N
1922-08-16 22:46:33,2823,12930,0,1      詳細不明,1N
1922-08-17 21:05:40,3414,13510,0,1      詳細不明,1N
1922-08-19 23:17:51,3524,13646,0,1      詳細不明,1N
1922-08-20 02:43:50,4320,14535,0,1      詳細不明,1N
1922-08-20 12:14:53,2420,12410,0,2      詳細不明,1N
1922-08-20 16:53:24,3414,13510,0,1      詳細不明,1N
1922-08-20 17:48:40,3623,14028,0,1      詳細不明,2N
1922-08-20,3623,14028,0,1      詳細不明,2N
1922-08-20 22:40:34,3414,13510,0,1      詳細不明,1N
1922-08-22 05:22:24,3414,13510,0,1      詳細不明,1N
1922-08-22 16:17:33,2420,12410,0,1      詳細不明,1N
1922-08-22 19:34:10,4320,14535,0,1      詳細不明,1N
1922-08-23 05:45:25,3414,13510,0,1      詳細不明,1N
1922-08-27 17:48:40,3414,13510,0,1      詳細不明,1N
1922-08-28 18:04:20,4320,14535,0,1      詳細不明,1N
1922-08-29 21:52:59,3414,13510,0,1      詳細不明,1N
1922-08-29 22:04:32,3414,13233,0,1      詳細不明,1N
1922-08-31 18:17:06,3414,13510,0,1      詳細不明,1N
1922-08-31,2823,12930,0,1      詳細不明,1N
1922-09-02 04:44:23,2420,12410,0,1      詳細不明,1N
1922-09-02 06:10:05,2420,12410,0,1      詳細不明,1N
1922-09-03,3826,14118,0,1      詳細不明,1N
1922-09-05 09:32:21,3454,13204,0,1      詳細不明,1N
1922-09-07 07:11:34,2420,12410,0,1      詳細不明,1N
1922-09-08 00:41:38,3615,13758,0,1      詳細不明,1N
1922-09-08 04:56:40,2420,12410,0,1      詳細不明,1N
1922-09-08 19:21:49,2823,12930,0,1      詳細不明,1N
1922-09-09,3327,13546,0,1      詳細不明,1N
1922-09-10 08:39:13,3249,13042,0,1      詳細不明,1N
1922-09-11,3524,13646,0,1      詳細不明,1N
1922-09-13,3414,13510,0,1      詳細不明,1N
1922-09-17 10:41:58,2420,12410,0,1      詳細不明,1N
1922-09-17 16:53:08,2420,12410,0,2      詳細不明,1N
1922-09-18 09:17:05,3613,14006,0,1      詳細不明,1N
1922-09-18 17:42:50,2420,12410,0,1      詳細不明,1N
1922-09-20 18:51:33,2823,12930,0,1      詳細不明,3N
